ma_khach_hang,ma_san_pham,ten_san_pham,diem_trung_binh,Rating
1,222600006,Gel Tẩy Tế Bào Chết Bio-essence Dưỡng Da Tươi Trẻ 60g,5.0,5.167939186096191
1,100210023,Serum Timeless Vitamin B5 Làm Dịu & Phục Hồi Da 30ml,4.9,5.051745414733887
1,204100082,Gel Rửa Mặt Eucerin Làm Sạch Dịu Nhẹ Da Nhạy Cảm 200ml,5.0,5.024067401885986
1,422209053,"Serum Swiss Image Dưỡng Sáng Da, Giảm Xỉn Màu 30ml",5.0,5.022787570953369
1,418800004,"Serum 9Wishes Dưỡng Sáng Da, Giảm Thâm 25ml",4.9,5.094572067260742
2,418800004,"Serum 9Wishes Dưỡng Sáng Da, Giảm Thâm 25ml",4.9,5.108542442321777
2,422209042,Gel Rửa Mặt Swiss Image Cho Da Hỗn Hợp Và Dầu Mụn 200ml,5.0,5.036257266998291
2,422216596,Combo 2 Serum Vichy Giải Cứu Làn Da Tức Thì 10ml,5.0,5.140273094177246
2,418800002,Serum 9Wishes Dưỡng Ẩm & Làm Căng Bóng Da 25ml,4.9,5.03528356552124
2,222600006,Gel Tẩy Tế Bào Chết Bio-essence Dưỡng Da Tươi Trẻ 60g,5.0,5.08388090133667
3,422216896,Combo 2 Mặt Nạ innisfree Chăm Sóc Lỗ Chân Lông 100ml,5.0,4.935702323913574
3,318900011,Nước Hoa Hồng Klairs Dành Cho Da Nhạy Cảm 180ml,4.8,4.955158233642578
3,422216596,Combo 2 Serum Vichy Giải Cứu Làn Da Tức Thì 10ml,5.0,4.668130874633789
3,422201123,Combo Sunplay Sữa Chống Nắng Ngăn Sạm & Hiệu Chỉnh Sắc Da,4.0,4.696433067321777
3,318900012,Nước Hoa Hồng Klairs Không Mùi Cho Da Nhạy Cảm 180ml,4.8,4.899356365203857
4,201600074,Serum Vichy 89 Khoáng Chất Phục Hồi Chuyên Sâu 30ml,4.9,4.981132507324219
4,422216596,Combo 2 Serum Vichy Giải Cứu Làn Da Tức Thì 10ml,5.0,5.029190063476562
4,422209052,"Kem Dưỡng Swiss Image Sáng Da, Giảm Thâm Nám Ban Đêm 50ml",4.9,5.005229949951172
4,201600019,Serum Vichy 89 Khoáng Chất Phục Hồi Chuyên Sâu 50ml,4.9,4.982137680053711
4,422216896,Combo 2 Mặt Nạ innisfree Chăm Sóc Lỗ Chân Lông 100ml,5.0,4.982570171356201
5,418800002,Serum 9Wishes Dưỡng Ẩm & Làm Căng Bóng Da 25ml,4.9,5.013877391815186
5,222600006,Gel Tẩy Tế Bào Chết Bio-essence Dưỡng Da Tươi Trẻ 60g,5.0,5.071606159210205
5,422216596,Combo 2 Serum Vichy Giải Cứu Làn Da Tức Thì 10ml,5.0,5.124327659606934
5,418800004,"Serum 9Wishes Dưỡng Sáng Da, Giảm Thâm 25ml",4.9,5.090473651885986
5,422209042,Gel Rửa Mặt Swiss Image Cho Da Hỗn Hợp Và Dầu Mụn 200ml,5.0,5.018633842468262
6,422209052,"Kem Dưỡng Swiss Image Sáng Da, Giảm Thâm Nám Ban Đêm 50ml",4.9,5.016809463500977
6,318900011,Nước Hoa Hồng Klairs Dành Cho Da Nhạy Cảm 180ml,4.8,4.945784091949463
6,422216596,Combo 2 Serum Vichy Giải Cứu Làn Da Tức Thì 10ml,5.0,4.995261669158936
6,318900012,Nước Hoa Hồng Klairs Không Mùi Cho Da Nhạy Cảm 180ml,4.8,4.941466808319092
6,422216896,Combo 2 Mặt Nạ innisfree Chăm Sóc Lỗ Chân Lông 100ml,5.0,4.93750524520874
7,222600006,Gel Tẩy Tế Bào Chết Bio-essence Dưỡng Da Tươi Trẻ 60g,5.0,5.110511302947998
7,418800004,"Serum 9Wishes Dưỡng Sáng Da, Giảm Thâm 25ml",4.9,5.128868579864502
7,418800002,Serum 9Wishes Dưỡng Ẩm & Làm Căng Bóng Da 25ml,4.9,5.058442115783691
7,422216596,Combo 2 Serum Vichy Giải Cứu Làn Da Tức Thì 10ml,5.0,5.150289058685303
7,422209042,Gel Rửa Mặt Swiss Image Cho Da Hỗn Hợp Và Dầu Mụn 200ml,5.0,5.059787750244141
8,418800004,"Serum 9Wishes Dưỡng Sáng Da, Giảm Thâm 25ml",4.9,5.108542442321777
8,418800002,Serum 9Wishes Dưỡng Ẩm & Làm Căng Bóng Da 25ml,4.9,5.03528356552124
8,422209042,Gel Rửa Mặt Swiss Image Cho Da Hỗn Hợp Và Dầu Mụn 200ml,5.0,5.036257266998291
8,422216596,Combo 2 Serum Vichy Giải Cứu Làn Da Tức Thì 10ml,5.0,5.140273094177246
8,222600006,Gel Tẩy Tế Bào Chết Bio-essence Dưỡng Da Tươi Trẻ 60g,5.0,5.08388090133667
9,422209042,Gel Rửa Mặt Swiss Image Cho Da Hỗn Hợp Và Dầu Mụn 200ml,5.0,5.046836376190186
9,422216596,Combo 2 Serum Vichy Giải Cứu Làn Da Tức Thì 10ml,5.0,5.149338722229004
